Region,Provider,Specialty,KPI Value,KPI Name,Date
North East and Yorkshire,Sheffield Children`s NHS Foundation Trust,Paediatric Oral Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Children`s NHS Foundation Trust,Paediatric Orthopaedics,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Children`s NHS Foundation Trust,Paediatrics,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Children`s NHS Foundation Trust,Paediatric Pain Management,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Children`s NHS Foundation Trust,Paediatric Plastic Surgery,27 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Children`s NHS Foundation Trust,Paediatric Respiratory Medicine,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Children`s NHS Foundation Trust,Paediatric Rheumatology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Children`s NHS Foundation Trust,Paediatric Surgery,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Children`s NHS Foundation Trust,Spinal Surgery,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Cardiology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Colorectal,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Dermatology,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,"Ear, Nose and Throat",19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Gastroenterology,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,General Surgery,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Gynaecology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Haematology,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Maxillofacial Surgery,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Neurology,28 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Neurosurgery,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Ophthalmology,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Oral Surgery,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Orthopaedics,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Pain Management,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Plastic Surgery,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Respiratory,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Rheumatology,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Spinal Surgery,24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Upper Gastrointestinal Surgery,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Urology,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Teaching Hospitals NHS Foundation Trust,Vascular,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Thornbury – One Health Group,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Thornbury – One Health Group,Orthopaedics,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield Thornbury – One Health Group,Spinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield White House – One Health Group,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield White House – One Health Group,Gynaecology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Sheffield White House – One Health Group,Orthopaedics,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Cardiology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Colorectal,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,"Ear, Nose and Throat",21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Gastroenterology,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,General Medicine,7 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,General Surgery,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Gynaecology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Haematology,8 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Maxillofacial Surgery,26 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Neurology,26 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Neurosurgery,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Ophthalmology,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Oral Surgery,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Orthopaedics,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Paediatrics,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Pain Management,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Plastic Surgery,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Respiratory,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Spinal Surgery,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Upper Gastrointestinal Surgery,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Urology,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tees Hospitals NHS Foundation Trust,Vascular,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,Cardiology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,Colorectal,9 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,"Ear, Nose and Throat",12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,Gastroenterology,7 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,General Surgery,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,Gynaecology,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,Ophthalmology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,Oral Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,Orthopaedics,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,Paediatrics,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,Paediatric Surgery,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,Upper Gastrointestinal Surgery,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,Urology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,South Tyneside and Sunderland NHS Foundation Trust,Vascular,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,St Hughs – One Health Group,Spinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Stockton on Tees – Spamedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Tees – Nuffield,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Tees – Nuffield,Ophthalmology,8 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Tees – Nuffield,Orthopaedics,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Tees Valley Hospital – Ramsay,Dermatology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Tees Valley Hospital – Ramsay,Gastroenterology,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Tees Valley Hospital – Ramsay,General Surgery,9 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Tees Valley Hospital – Ramsay,Gynaecology,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Tees Valley Hospital – Ramsay,Oral Surgery,6 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Tees Valley Hospital – Ramsay,Orthopaedics,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Tees Valley Hospital – Ramsay,Plastic Surgery,6 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Tees Valley Hospital – Ramsay,Urology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Duchy Hospital – Circle,Gastroenterology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Duchy Hospital – Circle,General Surgery,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Duchy Hospital – Circle,Orthopaedics,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Duchy Hospital – Circle,Spinal Surgery,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Duchy Hospital – Circle,Urology,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Huddersfield Hospital – Circle,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Huddersfield Hospital – Circle,Gynaecology,7 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Huddersfield Hospital – Circle,Orthopaedics,7 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Huddersfield Hospital – Circle,Urology,6 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Cardiology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Colorectal,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Dermatology,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,"Ear, Nose and Throat",22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Gastroenterology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,General Surgery,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Gynaecology,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Haematology,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Maxillofacial Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Ophthalmology,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Oral Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Orthopaedics,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Respiratory,9 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Rheumatology,7 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,The Rotherham NHS Foundation Trust,Urology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Thornbury Hospital – Circle,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Thornbury Hospital – Circle,Gynaecology,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Thornbury Hospital – Circle,Orthopaedics,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Thornbury Hospital – Circle,Spinal Surgery,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Wakefield – Newmedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Wakefield – One Health Group,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Wakefield – One Health Group,Gynaecology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Wakefield – One Health Group,Spinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Wakefield – Spamedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Washington Hospital – Spire,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Washington Hospital – Spire,Neurosurgery,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Washington Hospital – Spire,Orthopaedics,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Woodlands Hospital – Circle,"Ear, Nose and Throat",n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Woodlands Hospital – Circle,General Surgery,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Woodlands Hospital – Circle,Gynaecology,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Woodlands Hospital – Circle,Ophthalmology,8 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Woodlands Hospital – Circle,Orthopaedics,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Woodlands Hospital – Circle,Pain Management,9 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Woodlands Hospital – Circle,Urology,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York – Nuffield,Orthopaedics,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York – Optegra,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York and Scarborough Teaching Hospitals NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York and Scarborough Teaching Hospitals NHS Foundation Trust,Cardiology,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York and Scarborough Teaching Hospitals NHS Foundation Trust,Colorectal,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York and Scarborough Teaching Hospitals NHS Foundation Trust,"Ear, Nose and Throat",20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York and Scarborough Teaching Hospitals NHS Foundation Trust,Gynaecology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York and Scarborough Teaching Hospitals NHS Foundation Trust,Maxillofacial Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York and Scarborough Teaching Hospitals NHS Foundation Trust,Ophthalmology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York and Scarborough Teaching Hospitals NHS Foundation Trust,Oral Surgery,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York and Scarborough Teaching Hospitals NHS Foundation Trust,Orthopaedics,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York and Scarborough Teaching Hospitals NHS Foundation Trust,Plastic Surgery,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York and Scarborough Teaching Hospitals NHS Foundation Trust,Upper Gastrointestinal Surgery,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York and Scarborough Teaching Hospitals NHS Foundation Trust,Urology,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,York and Scarborough Teaching Hospitals NHS Foundation Trust,Vascular,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Yorkshire – Optegra,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Yorkshire Clinic – Ramsay,"Ear, Nose and Throat",n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Yorkshire Clinic – Ramsay,Gastroenterology,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Yorkshire Clinic – Ramsay,General Surgery,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Yorkshire Clinic – Ramsay,Gynaecology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Yorkshire Clinic – Ramsay,Neurology,27 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Yorkshire Clinic – Ramsay,Ophthalmology,6 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Yorkshire Clinic – Ramsay,Orthopaedics,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Yorkshire Clinic – Ramsay,Pain Management,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Yorkshire Clinic – Ramsay,Plastic Surgery,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Yorkshire Clinic – Ramsay,Respiratory,7 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North East and Yorkshire,Yorkshire Clinic – Ramsay,Urology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Accrington – CHEC,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,Paediatric Cardiac Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,Paediatric Cardiology,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,Paediatric Dentistry,26 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,"Paediatric, Ear Nose and Throat",21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,Paediatric Gastroenterology,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,Gynaecology,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,Paediatric Neurosurgery,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,Paediatric Ophthalmology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,Paediatric Oral Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,Paediatric Orthopaedics,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,Paediatric Plastic Surgery,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,Paediatric Surgery,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,Spinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Alder Hey Childrens NHS Foundation Trust,Paediatric Urology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool – CHEC,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool Teaching Hospitals NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool Teaching Hospitals NHS Foundation Trust,Cardiac Surgery,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool Teaching Hospitals NHS Foundation Trust,Cardiology,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool Teaching Hospitals NHS Foundation Trust,Colorectal,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool Teaching Hospitals NHS Foundation Trust,Dermatology,6 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool Teaching Hospitals NHS Foundation Trust,"Ear, Nose and Throat",18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool Teaching Hospitals NHS Foundation Trust,General Surgery,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool Teaching Hospitals NHS Foundation Trust,Gynaecology,30 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool Teaching Hospitals NHS Foundation Trust,Maxillofacial Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool Teaching Hospitals NHS Foundation Trust,Ophthalmology,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool Teaching Hospitals NHS Foundation Trust,Oral Surgery,24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool Teaching Hospitals NHS Foundation Trust,Orthopaedics,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Blackpool Teaching Hospitals NHS Foundation Trust,Urology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton – Spamedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Colorectal,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,"Ear, Nose and Throat",26 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Gastroenterology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,General Surgery,26 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Gynaecology,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Maxillofacial Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Ophthalmology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Oral Surgery,28 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Orthopaedics,24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Paediatrics,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Paediatric Surgery,30 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Pain Management,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Plastic Surgery,30 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Respiratory,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Upper Gastrointestinal Surgery,24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
North West,Bolton NHS Foundation Trust,Urology,24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
